Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS/CE,PrecoRS/RS,PrecoCE/CE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22,,PRAZO,,14,14,,7,18,20
MFA,(fita tear reforçada poliéster/algodão),,19/07/2022,,,METRO,4mm,"0,4","0,45",,,,,,,,,,,,,,,
MFA,(fita tear reforçada poliéster/algodão),,26/06/2026,,,METRO,6mm,"0,25","0,29",,,,,,,,,,,,,,,
MFGP,(fita pol.tear),,03/12/2020,,,METRO,10mm,"0,41","0,46",,,,,,,,,,,,,,,
MFGP,(fita pol.tear),,08/07/2026,,,METRO,10mm,"0,48","0,55","0,56",,,,,,,,,,,,,,
MFGP,(fita pol.tear),,15/06/2021,,,METRO,12mm,"0,49","0,54",,,,,,,,,,,,,,,
MFGP,(fita pol.tear),,08/07/2026,,,METRO,12mm,"0,58","0,66","0,67",,,,,,,,,,,,,,
MFGP,(fita pol.tear),,08/07/2026,,,METRO,15mm,"0,58","0,66","0,67",,,,,,,,,,,,,,
MFGP,(fita pol.tear com refletivo 5mm),,03/05/2023,,,METRO,15mm,"2,2","2,51","2,55",,,,,,,,,,,,,,
MFGP,(fita pol.tear),,17/02/2023,,,METRO,20mm,"0,96","1,07",,,,,,,,,,,,,,,
MFGP,(fita pol.tear),,17/02/2023,,,METRO,25mm,"1,2","1,34",,,,,,,,,,,,,,,
MFGP,(fita tear pol. Bicolor),,03/05/2023,,,METRO,25mm,"2,64","3,01","3,06",,,,,,,,,,,,,,
MFGP,(fita pol.tear),,17/02/2023,,,METRO,28mm,"1,34","1,49",,,,,,,,,,,,,,,
MFGP,(fita pol.tear com refletivo 5mm),,17/02/2023,,,METRO,30mm,"1,44","1,6",,,,,,,,,,,,,,,
MFGP,(fita pol.tear),,03/12/2020,,,METRO,8mm,"0,33","0,37",,,,,,,,,,,,,,,
MFGP,(fita pol.tear),,08/07/2026,,,METRO,8mm,"0,38","0,43","0,44",,,,,,,,,,,,,,
MFGP 10mm,(fita pol.tear com ponteira),,03/12/2020,,,PAR,100cm,"0,84","0,93",,,,,,,,,,,,,,,
MFP,(Fita FT726 Dakota),,20/07/2022,,,METRO,10mm,"0,6","0,67",,,,,,,,,,,,,,,
MFP,(Fita FT726 Dakota),,20/07/2022,,,METRO,12mm,"0,72","0,8",,,,,,,,,,,,,,,
MFP,(Fita FT726 Dakota),,20/07/2022,,,METRO,15mm,"0,93","1,03",,,,,,,,,,,,,,,
MFP,(Fita FT726 Dakota),,20/07/2022,,,METRO,20mm,"1,24","1,38",,,,,,,,,,,,,,,
MFP,(Fita FT726 Dakota),,20/07/2022,,,METRO,25mm,"1,5","1,67",,,,,,,,,,,,,,,
MFP,(Fita FT726 Dakota),,20/07/2022,,,METRO,28mm,"1,68","1,87",,,,,,,,,,,,,,,
MFP,(Fita FT726 Dakota),,22/10/2019,,,METRO,28mm,"1,23","1,36",,,,,,,,,,,,,,,
MFP,(Fita FT726 Dakota),,20/07/2022,,,METRO,30mm,"1,8",2,,,,,,,,,,,,,,,
MFP,(Fita FT726 Dakota),,20/07/2022,,,METRO,35mm,"2,1","2,34",,,,,,,,,,,,,,,
MFP,(fita tear pol. FT726 Dakota),,20/07/2022,,,METRO,40mm,"2,4","2,67",,,,,,,,,,,,,,,
MFP,(Fita FT726 Dakota),,20/07/2022,,,METRO,8mm,"0,49","0,55",,,,,,,,,,,,,,,
