Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS,PrecoBA,PrecoCE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22
M31132(fita tear 84fios pol. Tubular s/ench. c/goma Nike),(com desconto concedido 30/01/2025),,30/01/2025,,,,,,,,,,"0,96","0,93",
M31132(fita tear 84fios pol. Tubular s/ench. c/goma Nike),,,01/11/2022,,,,,"0,96","0,93","0,93",,,,,
,,,,,,,,,,,,,,,
M31134(fita tear 93fios pol. c/borda3mm e centro 6mm c/goma Adidas),,,09/06/2025,,,metro,12 MM,,,,,,"0,72","0,7",
M31134(fita tear 93fios pol. c/borda3mm e centro 6mm c/goma Adidas),,,01/11/2022,,,metro,12 MM,"0,72","0,70","0,70",,,,,
,,,,,,,,,,,,,,,
,,,01/11/2022,,,metro,17 MM,"1,12","1,09","1,09",,,"0,74","0,72",
,,,01/11/2022,,,metro,17 MM,"0,74","0,72","0,72",,,,,
,,,,,,,,,,,,,,,
M31138(fita tear 56 fios polimp c/goma c/fio auxiliar Adidas),,,01/11/2022,,,metro,12 MM,"0,29","0,28","0,28",,,"0,82","0,8",
M31138(fita tear 56 fios polimp c/goma c/fio auxiliar Adidas),,,01/11/2022,,,metro,12 MM,"0,82","0,80","0,80",,,,,
,,,,,,,,,,,,,,,
M31140(fita tear 66 fios pol. Bicolor New Balance),,,01/11/2022,,,metro,10 MM,"0,74","0,72","0,72",,,"1,07","1,04",
M31140(fita tear 66 fios pol. Bicolor New Balance),,,01/11/2022,,,metro,10 MM,"1,07","1,04","1,04",,,,,
,,,31/03/2026,,,metro,17 MM,,,,,,"1,12","1,09",
,,,01/11/2022,,,metro,17 MM,"1,12","1,09","1,09",,,,,
,,,,,,,,,,,,,,,
M31138(fita tear 56 fios polimp c/goma c/fio auxiliar Adidas),,,14/01/2026,,,metro,12 MM,,,,,,"0,29","0,28",
M31138(fita tear 56 fios polimp c/goma c/fio auxiliar Adidas),,,01/11/2022,,,metro,12 MM,"0,29","0,28","0,28",,,,,
,,,,,,,,,,,,,,,
M31140(fita tear 66 fios pol. Bicolor New Balance),,,10/03/2026,,,metro,10 MM,,,,,,"0,74","0,72",
M31140(fita tear 66 fios pol. Bicolor New Balance),,,01/11/2022,,,metro,10 MM,"0,74","0,72","0,72",,,,,
,,,,,,,,,,,,,,,
M31141(fita tear 75fios pol. c/desenho pontilhado c/goma Fila),,,13/05/2026,,,metro,12 MM,,,,,,"0,62","0,6",
M31141(fita tear 75fios pol. c/desenho pontilhado c/goma Fila),,,01/11/2022,,,metro,12 MM,"0,62","0,60","0,60",,,,,
M32112(fita tear pol.168fios c/refletivo colado 5mm Fila),,,01/11/2022,,,metro,15 MM,"2,90",,,,,,,
M31143(fita tear 54 fios pol. Bicolor Fila),,,13/05/2026,,,metro,10 MM,,,,,,"0,41","0,4",
M31143(fita tear 54 fios pol. Bicolor Fila),,,01/11/2022,,,metro,10 MM,"0,41","0,40","0,40",,,,,
M32142(fita pol.tear c/cordão passador c/goma),,,01/11/2022,,,metro,10 MM,"2,58","2,50","2,50",,,,,
,,,,,,,,,,,,,,,
M32107(fita pol.tear bicolor FILA),,,13/09/2022,,,metro,16 MM,"0,86","0,83","0,83",,,,,
M32107(fita pol.tear bicolor FILA),,,13/09/2022,,,metro,15 MM,"0,81","0,79","0,79",,,,,
,,,,,,,,,,,,,,,
M32164(fita pol.c/goma pré-encolhimento),,,01/11/2022,,,metro,10 MM,"0,72","0,70","0,70",,,"2,9",,
,,,,,,,,,,,,,,,
M32164(fita pol.c/goma pré-encolhimento),,,01/11/2022,,,metro,12 MM,"0,86","0,83","0,83",,,"2,58","2,5",
M32164(fita pol.c/goma pré-encolhimento),,,01/11/2022,,,metro,12 MM,"2,58","2,50","2,50",,,,,
M32142(fita pol.tear c/cordão passador c/goma),(preço novo informado em junho/2022),,02/06/2022,,,metro,10 MM,"2,58","2,50","2,50",,,,,
M32164(fita pol.c/goma pré-encolhimento),,,01/11/2022,,,metro,15 MM,"1,08","1,05","1,05",,,,,
